title,address,opening_hrs,website,phone,plus_code
Pet Valu,"885 Plymouth Dr #3, Mississauga, ON L5V 0B5",opening hr not provided,store.petvalu.com,(905) 821-4290,"J853+6J Mississauga, Ontario"
Pet Valu,"2734 Lake Shore Blvd W, Etobicoke, ON M8V 1H1",opening hr not provided,store.petvalu.com,(416) 253-5960,"JG22+XG Etobicoke, Toronto, ON"
cat cave & I,(226) 886-3231,Open now: Open 24 hours,website not available,(226) 886-3231,plus code available
Bellas Pet Shop,(647) 909-6475,Open now: Open 24 hours,website not available,(647) 909-6475,plus code available
Pet Valu,"195 Lakeshore Rd E, Mississauga, ON L5G 1G2",opening hr not provided,store.petvalu.com,(905) 274-8774,"HC5C+2G Mississauga, Ontario"
PetSmart,"158 N Queen St, Etobicoke, ON M9C 1A8",,,,
Tail Blazers Etobicoke,"F - 170 N Queen St, Etobicoke, ON M9C 1A8",opening hr not provided,tailblazerspets.com,(416) 626-8245,"JC9R+F9 Etobicoke, Toronto, ON"
Endless Tails Pet Nutrition Centre,"1891 Rathburn Rd E, Mississauga, ON L4W 3Z3",opening hr not provided,endlesstailspet.ca,(905) 290-0378,"JCP3+GC Mississauga, Ontario"
The Puppy Bakery,"72 Lady Evelyn Cres, Brampton, ON L6Y 6C6",opening hr not provided,website not available,Phone not available,"J6J4+G5 Brampton, Ontario"
Pet Valu,"235 Guelph St, Georgetown, ON L7G 4A8",opening hr not provided,store.petvalu.com,(905) 873-7407,"M423+G7 Georgetown, Halton Hills, ON"
Aquatopia,(416) 939-6753,Open now: Open 24 hours,website not available,(416) 939-6753,plus code available
Global Pet Foods,"8255 Financial Dr #2, Brampton, ON L6Y 1M1",opening hr not provided,globalpetfoods.com,(905) 451-3214,"J6M6+RG Brampton, Ontario"
Wag Swag Pet ID,wagswagpetid.etsy.com,opening hr not provided,wagswagpetid.etsy.com,Phone not available,plus code available
