google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Pet supply store,Posh Pet City,adress not available,opening hr not provided,website not available,(647) 460-0919,plus code available,review not available,not available
Pet supply store,Pawsalicious Bakery,adress not available,Opens at 10:00 a.m.,pawsalicious.com,(647) 284-7298,plus code available,4.7,73 reviews
Pet supply store,American Pet Botanicals Inc.,"180 West Beaver Creek Rd, Richmond Hill, ON L4B 1B4",opening hr not provided,americanpetbotanicals.com,Phone not available,"RJW6+GQ Richmond Hill, Ontario",review not available,not available
Pet store,ARMOR THE POOCH,adress not available,Open now: Open 24 hours,armorthepooch.ca,(905) 534-5989,plus code available,review not available,not available
Pet supply store,Dog Idol,"38 Buttonfield Rd, Markham, ON L3R 9G8",Opens at 10:00 a.m.,thedogidol.com,(905) 475-6788,"VJ9R+CX Markham, Ontario",4.7,28 reviews
Pet store,Snoots and Paws,adress not available,Open now: Open 24 hours,snootsandpaws.com,(289) 637-1159,plus code available,review not available,not available
Pet supply store,Bone & Biscuit,"9330 Bathurst St Unit #4, Maple, ON L6A 4N9",Opens at 10:00 a.m.,shop.boneandbiscuit.ca,(905) 303-1111,"RGXR+H6 Vaughan, Ontario",5.0,44 reviews
Pet store,Tabbykins,adress not available,Open now: Open 24 hours,tabbykins.com,Phone not available,plus code available,5.0,1 review
Pet groomer,Top Dog Boutique and Spa Inc,"9184 Yonge St #15, Richmond Hill, ON L4C 7A1",Opens at 11:00 a.m.,website not available,(905) 882-1288,"VH28+9H Richmond Hill, Ontario",4.2,30 reviews
Pet groomer,Fluffy' Spa,"328 York Regional Rd 7 #3, Richmond Hill, ON L4B 3P7",Opens at 9:00 a.m.,fluffyspa.com,(905) 709-9908,"RJR2+M8 Richmond Hill, Ontario",4.2,85 reviews
Pet store,Pawshie,adress not available,Open now: Open 24 hours,pawshie.ueniweb.com,Phone not available,plus code available,review not available,not available
Dog cafe,Raw Balance Dogfood,"10330 Yonge St Unit 3, Richmond Hill, ON L4C 5N1",Opens at 10:00 a.m.,rawbalance.ca,(416) 669-0619,"VHH6+P3 Richmond Hill, Ontario",5.0,15 reviews
Pet store,Pet Valu,"1410 Major MacKenzie Dr W, Vaughan, ON L6A 4H6",Opens at 9:00 a.m.,store.petvalu.com,(905) 832-9783,"VG78+95 Vaughan, Ontario",4.2,33 reviews
Pet store,Pet Valu,"720 Centre St Unit D2, Thornhill, ON L4J 0A7",Opens at 9:00 a.m.,store.petvalu.com,(905) 881-0396,"RG6W+8W Vaughan, Ontario",4.2,141 reviews
Pet store,Bark & Fitz - Gormley,"5 Gormley Industrial Ave, Gormley, ON L0H 1G0",Opens at 9:00 a.m.,barkandfitz.net,(905) 888-4666,"WJVC+QW Gormley, Ontario",3.5,2 reviews
Pet groomer,PetValu Grooming Salon,"10850 Yonge St, Richmond Hill, ON L4C 3E4",Opens at 10:00 a.m.,petvalu.com,(647) 568-8056,"VHR4+MV Richmond Hill, Ontario",5.0,6 reviews
Pet supply store,PetSmart,"1890 Major MacKenzie Dr W, Maple, ON L6A 4R9",Opens at 9:00 a.m.,petsmart.ca,(905) 417-9095,"VF5X+88 Vaughan, Ontario",4.3,492 reviews
Pet supply store,Global Pet Foods,"70 Doncaster Ave, Thornhill, ON L3T 1L3",Opens at 9:00 a.m.,globalpetfoods.com,(905) 771-9227,"RH3M+RP Markham, Ontario",4.7,203 reviews
Pet store,Pet Valu,"1 Henderson Dr, Aurora, ON L4G 4P7",Opens at 9:00 a.m.,store.petvalu.com,(905) 727-4939,"XGMP+26 Aurora, Ontario",4.3,38 reviews
Dog day care center,Woofur,"8855 Woodbine Ave Unit C5, Markham, ON L3R 5G1",opening hr not provided,woofur.ca,(416) 238-7358,"VJ5R+26 Markham, Ontario",4.3,108 reviews
Pet supply store,Global Pet Foods,"1700 King Rd Unit #24, King City, ON L7B 0N1",Opens at 10:00 a.m.,globalpetfoods.com,(905) 833-7387,"WFMV+RP King City, Ontario",4.7,42 reviews
Pet supply store,Dandy Doggy Pet Shop,"265 Edward St, Aurora, ON L4G 3M7",Opens at 9:00 a.m.,website not available,(905) 727-6464,"XGPP+HQ Aurora, Ontario",3.8,19 reviews
Pet store,Pawsh Pads,adress not available,Open now: Open 24 hours,pawshpads.com,Phone not available,plus code available,4.7,13 reviews
Pet store,Pet Valu,"7355 Bayview Ave, Thornhill, ON L3T 5Z2",Opens at 9:00 a.m.,store.petvalu.com,(905) 597-6400,"RJ72+8H Markham, Ontario",4.3,117 reviews
Pet store,Pet Valu,"3987 Hwy 7, Markham, ON L3R 5M6",Opens at 9:00 a.m.,store.petvalu.com,(905) 474-1336,"VM4G+QF Markham, Ontario",4.6,262 reviews
Pet store,My Kitty Harness,adress not available,Open now: Open 24 hours,mykittyharness.ca,Phone not available,plus code available,review not available,not available
Pet supply store,Azcor Pet Products,"3115 14th Ave #3, Markham, ON L3R 0H1",opening hr not provided,azcorpetproducts.com,(905) 513-6327,"RMJ2+R3 Markham, Ontario",5.0,1 review
Pet supply store,PetSmart,"15490 Bayview Ave, Aurora, ON L4G 7J1",Opens at 9:00 a.m.,petsmart.ca,(905) 841-1767,"2H62+PV Aurora, Ontario",4.4,424 reviews
Aquarium shop,Flourish Aquarium,"9255 Woodbine Ave Unit B-7B, Markham, ON L6C 1Y9",Opens at 11:00 a.m.,flourishaquarium.com,(905) 534-8799,"VJCQ+2J Markham, Ontario",4.5,62 reviews
Pet store,Lobos Pet Palace,"1450 Clark Ave W, Thornhill, ON L4J 7R5",Opens at 9:30 a.m.,lobospetpalace.com,(905) 597-5626,"QGXH+9P Vaughan, Ontario",4.6,51 reviews
Pet groomer,Pet N Story,"South of Steels on, 3891A Don Mills Rd, North York, ON M2H 2S7",Opens at 10:00 a.m.,website not available,(416) 756-4488,"RJ5V+36 North York, Toronto, ON",review not available,not available
Pet supply store,Global Pet Foods,"14800 Yonge St Unit 153, Aurora, ON L4G 1N3",Opens at 10:00 a.m.,globalpetfoods.com,(905) 727-3448,"XGPM+X8 Aurora, Ontario",4.7,48 reviews
Animal hospital,Yonge 16th Animal Hospital,"1 Spadina Rd, Richmond Hill, ON L4B 3M2",Opens at 9:00 a.m.,yonge16thpethospital.com,(905) 597-1012,"VJ63+HX Richmond Hill, Ontario",4.6,106 reviews
Pet supply store,Pets Drug Mart,adress not available,Open now: Open 24 hours,petsdrugmart.ca,+1 866-462-4007,plus code available,4.3,125 reviews
Pet groomer,Pet Grooming Studio,"680 Major Mackenzie Dr E, Richmond Hill, ON L4C 1J9",Opens at 9:00 a.m.,petgroom.ca,(905) 883-9456,"VHGM+J8 Richmond Hill, Ontario",4.1,19 reviews
Pet store,Big Al's Aquarium Supercentres - North York,"180 Steeles Ave W, Thornhill, ON L4J 1A1",Opens at 11:00 a.m.,bigalscurbside.com,(416) 223-2161,"QHXF+46 Vaughan, Ontario",4.3,859 reviews
Pet supply store,PetSmart,"5095 Yonge St A3, North York, ON M2N 6Z4",Opens at 9:00 a.m.,petsmart.ca,(416) 223-9103,"QH9Q+F5 North York, Toronto, ON",4.4,886 reviews
Pet boarding service,M&M Pet Care Services,adress not available,Opens at 9:00 a.m.,mmpetcare.ca,(647) 833-2177,plus code available,5.0,2 reviews
Pet supply store,Dandy Doggy Pet Shop,"265 Edward St, Aurora, ON L4G 3M7",Opens at 9:00 a.m.,website not available,(905) 727-6464,plus code available,review not available,not available
Pet supply store,Paw Please Pet Services and Boutique,"7000 Bathurst St Unit C02, Thornhill, ON L4J 7L1",Opens at 10:30 a.m.,pawplease.ca,(647) 921-0929,"QHV3+6C Vaughan, Ontario",5.0,8 reviews
Pet groomer,Dapper Dog The,"10520 Yonge St, Richmond Hill, ON L4C 3C7",Closed,website not available,(905) 884-5587,"VHM5+M5 Richmond Hill, Ontario",4.5,12 reviews
Pet store,Pet Valu,"81 Gerry Fitzgerald Dr, Toronto, ON M3J 3N4",Opens at 10:00 a.m.,store.petvalu.com,(416) 665-4254,"QGPG+4M Toronto, Ontario",4.4,119 reviews
Animal hospital,Richmond Hill Animal Hospital,"11 Centre St W, Richmond Hill, ON L4C 3P3",Opens at 9:00 a.m.,richmondhillanimalhospital.net,(905) 884-8477,"VHG6+8C Richmond Hill, Ontario",4.7,143 reviews
Pet store,J & J Pet Club,"2900 Steeles Ave E #38, Thornhill, ON L3T 4X1",Opens at 12:00 p.m.,jjpetclub.com,(289) 597-1311,"RJ7R+5J Markham, Ontario",5.0,66 reviews
Animal control service,Richmondhillwildliferemoval - Raccoon Removal And Squrriel Removal ( Richmond Hill),adress not available,Open now: Open 24 hours,richmondhillwildliferemoval.ca,(416) 831-0386,plus code available,5.0,9 reviews
Pet store,Global Pet Foods,"4721 Hwy 7, Unionville, ON L3R 1M7",Opens at 9:00 a.m.,unionville.globalpetfoods.com,(905) 475-5777,"VM7X+38 Markham, Ontario",4.7,172 reviews
Pet supply store,MyCatTime,"12-3075 14th Ave, Markham, ON L3R 0G9",opening hr not provided,website not available,(289) 859-4808,"RJJX+MR Markham, Ontario",5.0,3 reviews
Pet store,Pets Store,"2943 Major MacKenzie Dr W, Maple, ON L6A 3N9",opening hr not provided,restoyos.tk,Phone not available,"RFX8+M4 Vaughan, Ontario",review not available,not available
Pet store,Pet Valu,"2810 Major MacKenzie Dr W, Maple, ON L6A 3L2",Opens at 9:00 a.m.,store.petvalu.com,(905) 303-1172,"VF27+PW Vaughan, Ontario",4.5,91 reviews
Veterinarian,Bayview Hill Animal Hospital,"9912 Bayview Ave, Richmond Hill, ON L4C 2L3",Opens at 8:00 a.m.,bayviewhill.ca,(905) 508-1991,"VHFM+FW Richmond Hill, Ontario",4.1,142 reviews
Pet supply store,PetSmart,"7575 Weston Rd, Vaughan, ON L4L 9K5",Opens at 9:00 a.m.,petsmart.ca,(905) 850-8970,"QFM3+RP Vaughan, Ontario",4.3,809 reviews
Pet store,Puppy Chappy pet gromming shop,"15 Northtown Way Unit 26-27, North York, ON M2N 7A2",Opens at 10:00 a.m.,puppychappy.com,(416) 221-6334,"QHGP+4P North York, Toronto, ON",3.5,47 reviews
Pet store,Pet Me,"6026 Yonge St c, North York, ON M2M 3W5",Opens at 12:00 p.m.,website not available,(647) 588-6633,"QHQJ+QH North York, Toronto, ON",3.8,25 reviews
Pet supply store,Paw4mance Pet Products Inc,"601 Magnetic Dr, North York, ON M3J 3J2",opening hr not provided,paw4mance.ca,(416) 665-7297,"QGMG+J6 North York, Toronto, ON",review not available,not available
Pet groomer,K-9 Clippers,"2 Hunters Point Dr, Richmond Hill, ON L4C 9Y4",opening hr not provided,website not available,(905) 886-5205,"RHM5+2V Richmond Hill, Ontario",5.0,1 review
Pet store,Mutts & Mousers Canada,"130 Sparks Ave #112, North York, ON M2H 2S4",Opens at 9:00 a.m.,muttsmousers.ca,+1 888-887-4284,"RM54+4Q North York, Toronto, ON",1.4,5 reviews
Animal hospital,Elgin Mills Animal Hospital,"1285 Elgin Mills Rd E #11, Richmond Hill, ON L4S 0B5",Opens at 9:00 a.m.,elginmillsanimalhospital.com,(905) 237-2828,"VHWW+FQ Richmond Hill, Ontario",4.5,101 reviews
Pet groomer,Puppy Cuts & Care,"380 Tower Hill Rd #15, Richmond Hill, ON L4E 0T8",Opens at 9:00 a.m.,puppycutsandcare.com,(905) 237-8873,"WG7G+FM Richmond Hill, Ontario",3.7,69 reviews
Veterinarian,Don Head Village Animal Clinic,"737 Carrville Rd, Richmond Hill, ON L4C 6E5",Opens at 8:30 a.m.,richmondhillveterinarian.ca,(905) 707-9059,"RGXV+33 Richmond Hill, Ontario",4.5,167 reviews
Pet store,Reptile Mart,"550 Alden Rd unit 108, Markham, ON L3R 6A8",opening hr not provided,reptilemart.ca,Phone not available,"RMP8+RX Markham, Ontario",review not available,not available
Pet supply store,Ren's Pets Aurora,"239 Earl Stewart Dr Unit 52-9, Aurora, ON L4G 7Y3",Opens at 10:00 a.m.,renspets.com,(905) 503-2143,"2H92+XV Aurora, Ontario",4.5,301 reviews
Pet store,Teddy Club (pet shop),"7220 Kennedy Rd, Markham, ON L3R 0T4",Opens at 12:00 p.m.,superteddy.ca,(905) 415-9989,"RMJV+J4 Markham, Ontario",4.1,179 reviews
Pet groomer,PET PALACE GROOMING STUDIO,"23 Tomlin Crescent, Richmond Hill, ON L4C 7T4",Opens at 8:30 a.m.,petpalace888.wixsite.com,(647) 921-8826,"VG6V+WQ Richmond Hill, Ontario",4.9,18 reviews
Pet supply store,Global Pet Foods,"280 Sheppard Ave E, North York, ON M2N 3B1",Opens at 10:00 a.m.,globalpetfoods.com,(416) 222-8253,"QJ72+QH North York, Toronto, ON",4.5,108 reviews
Pet groomer,Guau Pet Grooming Spa,"43 Cathedral High St, Markham, ON L6C 0P1",Closed today,guau.ca,(647) 558-4400,"VJVF+6G Markham, Ontario",4.8,100 reviews
Pet store,Gold Garden Pet Shop,"4779 Steeles Ave E, Scarborough, ON M1V 4S5",opening hr not provided,gold-garden-pet-shop.jany.io,(416) 321-8890,"RPG2+3M Scarborough, Toronto, ON",3.6,28 reviews
Discount store,Dollarama,"9325 Yonge St South Hill Shopping Centre, Richmond Hill, ON L4C 0A8",Opens at 9:30 a.m.,dollarama.com,(905) 883-7916,"VH4C+32 Richmond Hill, Ontario",4.0,432 reviews
Discount store,Dollarama,"Allancourt Plaza, 606 Major Mackenzie Dr E, Richmond Hill, ON L4C 1J9",Opens at 9:30 a.m.,dollarama.com,(905) 883-3859,"VHGJ+FW Richmond Hill, Ontario",4.1,489 reviews
Pet store,myPet Shop on Yonge,"4720 Yonge St, North York, ON M2N 5M4",Opens at 10:00 a.m.,mypetshoponyonge.com,(416) 528-1788,"QH5Q+QM North York, Toronto, ON",4.9,84 reviews
Pet store,Rucal Pets,"3120 Rutherford Rd #318, Concord, ON L4K 0B2",opening hr not provided,rucalpets.com,+1 833-333-2579,"RFJ8+M4 Vaughan, Ontario",review not available,not available
Pet supply store,Unicorn Petting Zone (UPZ Pet Products),"401 Alden Rd unit 15, Markham, ON L3R 4N4",Closed,upzone.ca,(905) 604-5879,"RMM8+GQ Markham, Ontario",5.0,19 reviews
Pet supply store,Cola Pet,"5465 Yonge St, North York, ON M2N 5S1",Opens at 12:00 p.m.,website not available,(416) 906-2652,"QHHP+33 North York, Toronto, ON",4.6,80 reviews
Pet supply store,Our Dog & Company,"129 Pedersen Dr, Aurora, ON L4G 0E3",Opens at 10:00 a.m.,ourdogandcompany.com,(905) 713-3489,"2H92+8W Aurora, Ontario",4.7,68 reviews
Pet groomer,Fluffy Paws Grooming School,"328 Hwy 7 #3, Richmond Hill, ON L4B 3P7",Opens at 9:30 a.m.,fluffypawsgroomingschool.com,(905) 709-9908,"RJR2+M9 Richmond Hill, Ontario",5.0,2 reviews
Veterinarian,Canyon Hill Animal Hospital,"11000 Yonge St, Richmond Hill, ON L4C 3E4",Opens at 9:00 a.m.,canyonhillanimalhospital.com,(905) 737-4506,"VHW4+5H Richmond Hill, Ontario",4.7,62 reviews
Animal hospital,Ripley Animal Hospital,"10737 Yonge St Unit-15, Richmond Hill, ON L4C 9M9",Opens at 8:30 a.m.,ripleyanimalhospital.com,(905) 884-1432,"VHR5+5W Richmond Hill, Ontario",4.8,66 reviews
Discount store,Dollarama,"Richmond Heights Plaza, 10520 Yonge St, Richmond Hill, ON L4C 3C7",Opens at 9:30 a.m.,dollarama.com,(905) 883-9143,"VHM5+VC Richmond Hill, Ontario",4.1,249 reviews
Department store,Bed Bath & Beyond,"225 High Tech Rd Unit 1, Richmond Hill, ON L4B 0A6",Opens at 9:00 a.m.,stores.bedbathandbeyond.ca,(905) 762-1233,"RHRJ+PJ Richmond Hill, Ontario",3.9,774 reviews
Animal feed store,Can-Pet Distributors Inc,"84 Doney Crescent, Concord, ON L4K 3A8",Opens at 9:00 a.m.,canpetinc.com,(905) 738-3663,"QFWW+3G Vaughan, Ontario",4.8,6 reviews
Dog day care center,Pet Château,"11491 Leslie St, Richmond Hill, ON L4S 1N4",Opens at 7:00 a.m.,petchateau.ca,(905) 780-2626,"WJ82+C4 Richmond Hill, Ontario",4.6,75 reviews
Health food store,Healthy Planet Richmond Hill,"10520 Yonge St Unit 32, Richmond Hill, ON L4C 3C7",Opens at 10:00 a.m.,healthyplanetcanada.com,(905) 884-8771,"VHM5+R5 Richmond Hill, Ontario",4.1,95 reviews
Supermarket,Walmart Grocery Pickup & Delivery,"1070 Major Mackenzie Dr E A, Richmond Hill, ON L4S 1P3",Opens at 8:00 a.m.,walmart.ca,(905) 737-7840,"VHGR+WJ Richmond Hill, Ontario",4.8,5 reviews
Discount store,Dollarama,"Upper Yonge Plaza, 10909 Yonge St, Richmond Hill, ON L4C 3E3",Opens at 9:30 a.m.,dollarama.com,(905) 508-7168,"VHV6+J5 Richmond Hill, Ontario",4.0,222 reviews
Pet store,DC CLUB 汪猫俱乐部,"290 Yorktech Dr, Markham, ON L6G 0A7",Opens at 12:00 p.m.,website not available,(647) 800-0823,"RMW2+MJ Markham, Ontario",3.7,9 reviews
Pet supply store,Global Pet Foods,"3737 Major MacKenzie Dr W #115, Woodbridge, ON L4H 0A2",Opens at 9:00 a.m.,vaughan.globalpetfoods.com,(905) 303-2228,"RCVR+GH Vaughan, Ontario",4.7,77 reviews
Pet groomer,Modern Pets Grooming Sin2008摩登寵物美容,"10 East Wilmot St #19, Richmond Hill, ON L4B 1G9",Opens at 9:30 a.m.,modernpetsgroomingacademy.com,(905) 882-4022,"VJ38+8P Richmond Hill, Ontario",4.6,51 reviews
Pet store,Pet Valu,"9200 Weston Rd, Vaughan, ON L4H 2P8",Opens at 9:00 a.m.,store.petvalu.com,(905) 832-4939,"RCGR+QJ Vaughan, Ontario",4.3,83 reviews
Pet store,Dog Care Wonderland,"4779 Steeles Ave E, Scarborough, ON M1V 4S7",Opens at 2:00 p.m.,website not available,(416) 609-3531,"RPG2+4M Scarborough, Toronto, ON",4.6,56 reviews
Pet store,Everything About Animals,"46 Pinto Dr, North York, ON M2J 3V2",Open now: Open 24 hours,everythingaboutanimals.com,(416) 726-0556,"QMR6+X8 North York, Toronto, ON",5.0,1 review
Pet store,Muddy Paws On Main,"161 Main St Unionville, Unionville, ON L3R 2G9",opening hr not provided,website not available,Phone not available,"VM8Q+R7 Markham, Ontario",5.0,3 reviews
Pet supply store,Live Pet Love,adress not available,Open now: Open 24 hours,livepetlove.ca,(647) 444-9701,plus code available,review not available,not available
Pet supply store,Ren's Pets Woodbridge,"3900 Hwy 7 Unit 6, Woodbridge, ON L4L 9C3",Opens at 10:00 a.m.,renspets.com,(905) 265-9911,"QCQW+WF Vaughan, Ontario",4.5,268 reviews
Animal control service,Wildlife Solutions,adress not available,Opens at 8:00 a.m.,thewildlife.ca,(416) 688-2600,plus code available,4.8,35 reviews
Pet supply store,Global Pet Foods,"17730 Leslie St #2, Newmarket, ON L3Y 3E4",Opens at 9:00 a.m.,globalpetfoods.com,(905) 853-9550,"3HC8+P9 Newmarket, Ontario",4.5,38 reviews
Pet groomer,Dogs City,"205 Don Head Village Blvd Unit 4, Richmond Hill, ON L4C 7R3",Opens at 9:00 a.m.,dogscity.ca,(416) 704-6061,"VG8R+9M Richmond Hill, Ontario",5.0,2 reviews
Vitamin & supplements store,Bulldog Supplements Canada,adress not available,Open now: Open 24 hours,bulldognutrition.ca,(905) 237-0353,plus code available,4.8,21 reviews
Pet store,摩卡宠物会所Dog Care Wonderland,"5496 Yonge St, North York, ON M2N 7L3",Opens at 11:00 a.m.,website not available,(416) 546-0687,"QHHM+7R North York, Toronto, ON",4.2,23 reviews
Second hand store,Value Village,"10620 Yonge St, Richmond Hill, ON L4C 3C8",Closed today,stores.savers.com,(905) 737-7444,"VHP5+C3 Richmond Hill, Ontario",3.9,988 reviews
Hobby store,Wild Birds Unlimited,"7690 Yonge St Unit-4, Thornhill, ON L4J 1W1",Opens at 9:30 a.m.,thornhill.wbu.com,(905) 709-3775,"RH7G+V5 Vaughan, Ontario",4.7,63 reviews
Wholesaler,foufouBRANDS,"2-85 West Wilmot St, Richmond Hill, ON L4B 1K7",opening hr not provided,foufoubrands.ca,(289) 597-3681,"VJ25+MC Richmond Hill, Ontario",review not available,not available
Pest control service,Q.A.P Pest Control Richmond Hill,adress not available,opening hr not provided,qualityaffordablepestcontrol.ca,(647) 946-5581,plus code available,4.9,46 reviews
Pet store,Chew Chew Treats,adress not available,Opens at 9:00 a.m.,chewchewtreats.ca,Phone not available,plus code available,review not available,not available
Veterinarian,Arnold Crescent Animal Hospital,"26 Arnold Crescent, Richmond Hill, ON L4C 3R5",Opens at 8:00 a.m.,arnoldcrescentanimalhospital.com,(905) 737-3477,"VHF6+H8 Richmond Hill, Ontario",4.7,113 reviews
Computer store,Canada Computers & Electronics,"1070 Major Mackenzie Dr E Unit C1, Richmond Hill, ON L4S 1P3",Opens at 10:00 a.m.,canadacomputers.com,(905) 883-0817,"VHGQ+W5 Richmond Hill, Ontario",3.6,565 reviews
Pet supply store,Bone & Biscuit,"3604 Major MacKenzie Dr W Unit #8, Vaughan, ON L4H 3T6",Opens at 9:30 a.m.,boneandbiscuit.ca,(905) 303-2200,"RCWV+HF Vaughan, Ontario",5.0,19 reviews
Pet supply store,Global Pet Foods,"7887 Weston Rd, Woodbridge, ON L4L 1A6",Opens at 9:30 a.m.,woodbridge.globalpetfoods.com,(905) 851-4297,"QFR3+P5 Vaughan, Ontario",4.6,103 reviews
Veterinarian,Bayview Seven Animal Hospital,"2 Hunters Point Dr, Richmond Hill, ON L4C 9Y4",Opens at 8:00 a.m.,bayviewsevenanimalhospital.ca,(905) 764-1144,"RHJ5+XW Richmond Hill, Ontario",4.3,127 reviews
Pet store,Sweetie B Petwear,"Vaughan Mills, 1 Bass Pro Mills Dr, Concord, ON L4K 5W4",Opens at 10:00 a.m.,sweetiebpetwear.com,Phone not available,"RFG7+4J Vaughan, Ontario",4.9,65 reviews
Pet supply store,PetSmart,"1210 Castlemore Ave, Markham, ON L6E 0H7",Opens at 9:00 a.m.,petsmart.ca,(905) 209-8078,"WP4J+47 Markham, Ontario",4.3,837 reviews
Pet store,A Lot'l Axolotls,adress not available,Open now: Open 24 hours,alotlaxolotls.ca,(416) 689-2910,plus code available,3.4,20 reviews
Pet supply store,DZD Herptiles,"141 Clark Ave Unit 68, Thornhill, ON L3T 4P4",Open now: Open 24 hours,dzdherptiles.ca,Phone not available,"RH5R+PC Markham, Ontario",review not available,not available
Pet supply store,Global Pet Foods,"130 Davis Dr, Newmarket, ON L3Y 2N1",Opens at 9:00 a.m.,globalpetfoods.com,(905) 898-7910,"3G4F+4H Newmarket, Ontario",4.7,272 reviews
Pet supply store,Four Legs or Wings Pets,"228 Wildcat Rd, North York, ON M3J 2N5",Open now: Open 24 hours,fourlegsorwings.com,+1 877-672-4755,"QGH6+97 North York, Toronto, ON",review not available,not available
Grocery store,Loblaws,"10909 Yonge St, Richmond Hill, ON L4C 3E3",opening hr not provided,loblaws.ca,(905) 737-1222,"VHV6+V4 Richmond Hill, Ontario",4.1,870 reviews
Veterinarian,King Road Animal Hospital,"141 King Rd, Richmond Hill, ON L4E 3L7",Opens at 9:00 a.m.,kingrdvet.com,(905) 773-9200,"WGVR+33 Richmond Hill, Ontario",4.6,46 reviews
Pet store,WILDPAWS PANTRY,"2620 Rutherford Rd Unit 117, Vaughan, ON L4K 0H1",Opens at 10:00 a.m.,wildpawspantry.ca,(905) 553-5999,"RFMH+RP Vaughan, Ontario",5.0,2 reviews
Furniture store,Urban Barn Richmond Hill,"295 High Tech Rd Unit 1, Richmond Hill, ON L4B 0A3",Closed today,urbanbarn.com,(905) 764-1427,"RHRQ+RJ Richmond Hill, Ontario",4.3,171 reviews
Pet store,Doggo Drip Wear,"5200 Yonge St, North York, ON M2N 5P6",opening hr not provided,doggodripwear.com,Phone not available,"QHCP+7H North York, Toronto, ON",review not available,not available
Discount supermarket,Food Basics,"1070A Major Mackenzie Dr E, Richmond Hill, ON L4B 4R8",Opens at 8:00 a.m.,foodbasics.ca,(905) 770-1400,"VHGR+WJ Richmond Hill, Ontario",4.0,537 reviews
Pet groomer,Ecomobile Pet Grooming & Dogy Boutique,"205 Don Head Village Blvd Unit 4, Richmond Hill, ON L4C 7R3",opening hr not provided,ecomobilepetgrooming.com,(416) 704-6061,"VG8R+9M Richmond Hill, Ontario",4.3,9 reviews
Pet store,Pet Valu,"748 Sheppard Ave E, Willowdale, ON M2K 1C3",Opens at 9:30 a.m.,store.petvalu.com,(416) 225-9274,"QJ9F+WJ Toronto, Ontario",4.4,212 reviews
