google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Grocery store,Jim's No Frills,"10488 Yonge St, Richmond Hill, ON L4C 3G7",Opens at 8:00 a.m.,nofrills.ca,+1 866-987-6453,"VHM5+67 Richmond Hill, Ontario",3.6,"1,010 reviews"
Grocery store,Rob’s No Frills,"13071 Yonge St, Richmond Hill, ON L4E 1A5",Opens at 8:00 a.m.,nofrills.ca,+1 866-987-6453,"WGXW+28 Richmond Hill, Ontario",3.8,828 reviews
Discount supermarket,Food Basics,"1070A Major Mackenzie Dr E, Richmond Hill, ON L4B 4R8",Opens at 8:00 a.m.,foodbasics.ca,(905) 770-1400,"VHGR+WJ Richmond Hill, Ontario",4.0,537 reviews
Grocery store,Bruno's Fine Foods,"9665 Bayview Ave, Richmond Hill, ON L4C 0A2",Opens at 8:00 a.m.,brunosfinefoods.ca,(905) 737-4280,"VH9P+2W Richmond Hill, Ontario",4.4,66 reviews
Restaurant,Heeva Fine Foods,"10454 Yonge St, Richmond Hill, ON L4C 3C4",opening hr not provided,heevafinefoods.com,(905) 237-9588,"VHJ5+XW Richmond Hill, Ontario",4.1,242 reviews
Korean grocery store,H Mart,"9737 Yonge St, Richmond Hill, ON L4C 8S7",Opens at 8:30 a.m.,hmartca.com,(905) 883-6200,"VH88+53 Richmond Hill, Ontario",4.2,"1,204 reviews"
Gourmet grocery store,MELLAT FINE FOODS,"10815 Bathurst St Unit 14, Richmond Hill, ON L4C 9Y2",opening hr not provided,mellatfinefoods.ca,+1 833-824-2424,"VGPM+29 Richmond Hill, Ontario",4.5,177 reviews
Grocery store,HaftSeen Super Market,"26 Levendale Rd, Richmond Hill, ON L4C 4H2",opening hr not provided,website not available,(905) 737-7934,"VHJ5+VF Richmond Hill, Ontario",4.8,23 reviews
Grocery store,Enzo's No Frills,"9325 Yonge St, Richmond Hill, ON L4C 1V4",Opens at 8:00 a.m.,nofrills.ca,+1 866-987-6453,"VH49+F5 Richmond Hill, Ontario",3.9,"1,509 reviews"
Grocery store,Sobeys Vaughan,"9200 Bathurst St, Thornhill, ON L4J 8W1",Opens at 7:00 a.m.,sobeys.com,(905) 731-7600,"RGWQ+CM Vaughan, Ontario",4.1,488 reviews
Grocery store,Super Shiraz,"10720 Yonge St, Richmond Hill, ON L4C 3C9",Opens at 9:30 a.m.,website not available,(905) 237-0155,"VHQ5+H5 Richmond Hill, Ontario",3.4,26 reviews
Supermarket,Walmart Grocery Pickup & Delivery,"1070 Major Mackenzie Dr E A, Richmond Hill, ON L4S 1P3",Opens at 8:00 a.m.,walmart.ca,(905) 737-7840,"VHGR+WJ Richmond Hill, Ontario",4.8,5 reviews
Pharmacy,FreshCo Pharmacy Major MacKenzie,"1430 Major Mackenzie Dr E, Richmond Hill, ON L4S 0A1",Opens at 9:00 a.m.,website not available,(905) 770-9370,"VJJ3+5V Richmond Hill, Ontario",4.2,818 reviews
Grocery store,Super Toranj,"9737 Yonge St Unit 214, Richmond Hill, ON L4C 8S7",Opens at 9:00 a.m.,supertoranj.com,(905) 883-1234,"VH78+P2 Richmond Hill, Ontario",4.3,162 reviews
Supermarket,Walmart Grocery Pickup & Delivery,"255 Silver Linden Dr, Richmond Hill, ON L4B 4V5",Opens at 8:00 a.m.,walmart.ca,(204) 654-9839,"RHRM+RJ Richmond Hill, Ontario",4.0,36 reviews
Supermarket,Longo's Bathurst,"9306 Bathurst St, Maple, ON L6A 4N9",Opens at 7:00 a.m.,longos.com,(289) 304-9520,"RGXQ+4C Vaughan, Ontario",4.3,443 reviews
Supermarket,T&T Supermarket,"9255 Woodbine Ave, Markham, ON L6C 1Y9",opening hr not provided,tntsupermarket.com,(905) 927-9113,"VJ9Q+JV Markham, Ontario",4.0,"2,385 reviews"
Discount supermarket,Food Basics,"10 Royal Orchard Blvd, Markham, ON L3T 3C3",Opens at 8:00 a.m.,foodbasics.ca,(905) 764-8555,"RHFG+G8 Markham, Ontario",3.9,404 reviews
Health food store,Healthy Planet Richmond Hill,"10520 Yonge St Unit 32, Richmond Hill, ON L4C 3C7",Opens at 10:00 a.m.,healthyplanetcanada.com,(905) 884-8771,"VHM5+R5 Richmond Hill, Ontario",4.1,95 reviews
Grocery store,Dehkadeh Fine Foods,"1285 Elgin Mills Rd E #12, Richmond Hill, ON L4S 0B5",Opens at 9:30 a.m.,dehkadehfinefoods.ca,(647) 871-7372,"VHWW+FR Richmond Hill, Ontario",review not available,not available
Supermarket,Full Fresh Supermarket,"9390 Woodbine Ave, Markham, ON L6C 0M5",Opens at 9:00 a.m.,website not available,(905) 534-8896,"VJCM+VH Markham, Ontario",3.5,251 reviews
Convenience store,XSELL Convenience,"200 Springhead Gardens, Richmond Hill, ON L4C 5C8",Opens at 8:00 a.m.,website not available,Phone not available,"VH55+CM Richmond Hill, Ontario",4.7,3 reviews
Supermarket,Parsian Fine Foods,"8129 Yonge St, Thornhill, ON L3T 2C6",Opens at 10:00 a.m.,parsianfoods.ca,(905) 709-1400,"RHGF+9G Markham, Ontario",4.1,638 reviews
Pastry shop,Alice Bakery,"13461 Yonge St, Richmond Hill, ON L4E 2S7",Opens at 11:00 a.m.,website not available,(905) 313-1010,"XG3V+VJ Richmond Hill, Ontario",4.8,359 reviews
Indian grocery store,Om India Food Center,"1470 Centre St, Thornhill, ON L4J 3N1",Opens at 10:00 a.m.,website not available,(905) 482-0025,"RG4G+MH Vaughan, Ontario",4.2,550 reviews
Supermarket,Metro,"1 Henderson Dr, Aurora, ON L4G 4J7",Opens at 7:00 a.m.,metro.ca,(905) 727-0185,"XGMP+37 Aurora, Ontario",4.2,519 reviews
Health food store,Organic Planet Health,"688 Major MacKenzie Dr E, Richmond Hill, ON L4C 1J9",opening hr not provided,organicplanetonline.ca,(905) 787-9900,"VHGM+H8 Richmond Hill, Ontario",5.0,8 reviews
Grocery store,Highland Farms,"9940 Dufferin St, Maple, ON L6A 4K5",Opens at 7:00 a.m.,highlandfarms.ca,(905) 832-4481,"VG56+HH Vaughan, Ontario",4.4,980 reviews
Discount supermarket,Food Basics,"300 John St, Markham, ON L3T 5W4",opening hr not provided,foodbasics.ca,(905) 886-0983,"RJC2+5J Markham, Ontario",4.0,474 reviews
Indian grocery store,Sadroo's Grocery Supplies Ltd.,"487 McNicoll Ave, North York, ON M2H 2C9",Opens at 11:00 a.m.,business.site,(416) 494-4849,"RM25+RJ North York, Toronto, ON",4.0,143 reviews
Grocery store,Yummy Market,"1390 Major MacKenzie Dr W, Maple, ON L6A 4H6",Opens at 8:00 a.m.,yummymarket.com,(905) 417-4117,"VG78+9C Vaughan, Ontario",4.5,"2,485 reviews"
Supermarket,Galati Market Fresh,"5845 Leslie St, North York, ON M2H 1J8",Opens at 8:00 a.m.,galatimarketfresh.com,(416) 756-2000,"QJXJ+5F North York, Toronto, ON",4.2,591 reviews
Farmers' market,York Farmers Market,"7509 Yonge St, Thornhill, ON L3T 2B4",Closed today,yorkfarmersmarket.com,(905) 886-9992,"RH6H+74 Markham, Ontario",4.3,249 reviews
Grocery store,Whole Foods Market,"3997 Hwy 7, Markham, ON L3R 5M6",opening hr not provided,wholefoodsmarket.com,(905) 474-4900,"VM5H+53 Markham, Ontario",4.2,
Grocery store,FreshCo Steeles & Bathurst,"800 Steeles Ave W, Thornhill, ON L4J 7L2",Opens at 7:00 a.m.,website not available,(905) 669-0336,"QHR2+XP Vaughan, Ontario",4.1,"1,308 reviews"
Grocery store,Real Canadian Superstore,"15900 Bayview Ave, Aurora, ON L4G 7Y3",opening hr not provided,realcanadiansuperstore.ca,(905) 726-9532,"2HC2+V6 Aurora, Ontario",4.2,"1,485 reviews"
Butcher shop,Persia Meat Shop,"815 Major Mackenzie Dr E #6, Richmond Hill, ON L4C 9X2",Opens at 10:00 a.m.,website not available,(905) 770-0999,"VHGP+7F Richmond Hill, Ontario",4.3,74 reviews
Department store,Walmart Supercentre,"255 Silver Linden Dr, Richmond Hill, ON L4B 4V5",opening hr not provided,walmart.ca,(905) 747-0628,"RHRM+RJ Richmond Hill, Ontario",3.9,"3,369 reviews"
Gift shop,Too Good General Store Inc.,adress not available,Open now: Open 24 hours,toogoodgeneralstore.ca,(416) 931-0888,plus code available,4.8,43 reviews
Supermarket,First Choice Supermarket,"7866 Kennedy Rd, Markham, ON L3R 0L1",Opens at 9:00 a.m.,firstchoicesupermarket.ca,(905) 944-0388,"RMWV+H9 Markham, Ontario",3.5,621 reviews
Asian grocery store,Maple Grocery,"9699 Jane St, Maple, ON L6A 0A4",Opens at 10:00 a.m.,website not available,(905) 417-6069,"RFV7+VX Vaughan, Ontario",3.4,62 reviews
Grocery store,Costco,"John Birchall Rd, Richmond Hill, ON L4S 0B2",opening hr not provided,website not available,Phone not available,"WJ24+QV Richmond Hill, Ontario",review not available,not available
Department store,Walmart Supercentre,"1070 Major Mackenzie Dr E A, Richmond Hill, ON L4S 1P3",opening hr not provided,walmart.ca,(905) 737-3457,"VHGR+WJ Richmond Hill, Ontario",4.0,"1,382 reviews"
Grocery store,PAT Spring Garden Market,"63 Spring Garden Ave, North York, ON M2N 3G1",Opens at 9:30 a.m.,patmart.ca,(416) 226-5522,"QH7R+R3 North York, Toronto, ON",4.0,70 reviews
Bakery,Daryani Fine Bakery,"10670 Yonge St, Richmond Hill, ON L4C 3C9",Opens at 9:30 a.m.,superdaryani.ca,(905) 237-5046,"VHQ5+28 Richmond Hill, Ontario",3.8,293 reviews
Grocery store,Coppa's Fresh Market,"1700 King Rd, King City, ON L7B 0C6",Opens at 7:00 a.m.,coppas.com,(905) 833-7035,"WFPV+33 King City, Ontario",4.2,748 reviews
Gourmet grocery store,The Village Grocer,"4476 16th Ave, Markham, ON L3R 0M1",Opens at 9:00 a.m.,thevillagegrocer.com,(905) 940-0655,"VMHM+RG Markham, Ontario",4.5,807 reviews
Supermarket,Concord Food Centre \ Greco's Fresh Markets,"1438 Centre St, Thornhill, ON L4J 3N1",Opens at 8:00 a.m.,grecosfreshmarkets.com,(905) 886-2180,"RG4G+JW Vaughan, Ontario",4.4,584 reviews
Asian grocery store,Pat Thornhill Market,"5 Glen Cameron Rd, Thornhill, ON L3T 2B2",Opens at 9:00 a.m.,patmart.ca,(905) 881-5100,"RH4J+33 Markham, Ontario",4.0,313 reviews
Chinese supermarket,Sunny Supermarket,"115 Ravel Rd, North York, ON M2H 1T1",Opens at 9:00 a.m.,sunnysupermarket.com,(416) 498-0057,"QJRM+78 North York, Toronto, ON",3.7,"1,469 reviews"
Grocery store,FreshCo McCowan & Bur Oak,"9580 McCowan Rd, Markham, ON L3P 8M1",Opens at 7:00 a.m.,website not available,(905) 887-4366,"VPV4+3P Markham, Ontario",4.1,965 reviews
Grocery store,Real Canadian Superstore,"51 Gerry Fitzgerald Dr, Toronto, ON M3J 3N4",opening hr not provided,realcanadiansuperstore.ca,(416) 665-3209,"QGMH+XF Toronto, Ontario",4.1,"2,091 reviews"
Grocery store,The Low Carb Grocery Markham,"170 Esna Park Dr #8, Markham, ON L3R 1E3",Opens at 10:00 a.m.,thelowcarbgrocery.com,+1 888-484-7479,"RMG7+57 Markham, Ontario",4.7,199 reviews
Pet supply store,Global Pet Foods,"1070 Major Mackenzie Dr E Unit 109, Richmond Hill, ON L4S 1P3",Opens at 11:00 a.m.,globalpetfoods.com,(905) 508-8895,"VHGP+VG Richmond Hill, Ontario",4.3,118 reviews
Supermarket,Longo's Bayview,"7355 Bayview Ave, Thornhill, ON L3T 5Z2",Opens at 7:00 a.m.,longos.com,(905) 882-4646,"RJ72+G9 Markham, Ontario",4.4,435 reviews
Gourmet grocery store,Markham Fine Foods,"23 Wootten Way N, Markham, ON L3P 2Y2",Opens at 7:00 a.m.,markhamfinefoods.com,(905) 294-5521,"VQH4+CQ Markham, Ontario",4.0,66 reviews
Grocery store,Maple Barn Store,"11244 Keele St, Vaughan, ON",opening hr not provided,website not available,Phone not available,"VFMH+WP Vaughan, Ontario",3.4,10 reviews
Natural goods store,Ambrosia,"55 Doncaster Ave, Thornhill, ON L3T 1L7",Opens at 9:00 a.m.,ambrosia.ca,(905) 881-7811,"RH3M+87 Markham, Ontario",4.4,752 reviews
Indian grocery store,Bombay Bazaar,"7657 Kennedy Rd, Markham, ON L3R 0L7",Opens at 10:00 a.m.,m.facebook.com,(905) 480-9441,"RMRW+8H Markham, Ontario",3.7,255 reviews
Warehouse store,Costco Wholesale,"35 John Birchall Rd, Richmond Hill, ON L4S 0B2",opening hr not provided,costco.ca,(905) 780-2100,"WJ25+MM Richmond Hill, Ontario",4.3,"4,788 reviews"
Russian grocery store,Bathurst Village Market,"5988 Bathurst St, North York, ON M2R 1Z1",Opens at 8:30 a.m.,bathurstvillagemarket.com,(416) 650-0684,"QHM3+Q7 North York, Toronto, ON",4.3,94 reviews
Grocery store,Kabul Farms Supermarket,"23-3120 Rutherford Rd, Concord, ON L4K 0B1",Opens at 9:00 a.m.,website not available,(905) 553-5535,"RFJ8+PC Vaughan, Ontario",4.5,134 reviews
Grocery store,Loblaws,"200 Bullock Dr, Markham, ON L3P 1W2",opening hr not provided,loblaws.ca,(905) 294-4922,"VPF8+J6 Markham, Ontario",4.1,"1,728 reviews"
Grocery store,Arzon Supermarket,"6103 Yonge St, North York, ON M2M 3W2",Open now: Open 24 hours,arzon.ca,(416) 590-1234,"QHRJ+GR North York, Toronto, ON",3.7,671 reviews
Pet store,Tru Pet,"10520 Yonge St, Richmond Hill, ON L4C 3C7",Opens at 11:00 a.m.,trupet.getpayd.com,(905) 508-1112,"VHM5+G7 Richmond Hill, Ontario",4.5,81 reviews
Grocery store,Sobeys Aurora Bayview,"15500 Bayview Ave, Aurora, ON L4G 7J1",opening hr not provided,sobeys.com,(905) 726-2530,"2H63+QF Aurora, Ontario",4.3,628 reviews
Grocery store,Loblaws,"2877 Bayview Ave, North York, ON M2K 2S3",opening hr not provided,loblaws.ca,(416) 733-1783,"QJ97+G4 North York, Toronto, ON",4.1,"1,482 reviews"
Grocery store,Fortinos,"2911 Major MacKenzie Dr W, Maple, ON L6A 3N9",opening hr not provided,fortinos.ca,(905) 417-0484,"RFX8+MV Vaughan, Ontario",4.3,"1,618 reviews"
Popcorn store,Kernels Popcorn,"9350 Yonge St, Richmond Hill, ON L4C 5E4",opening hr not provided,kernelspopcorn.com,(905) 508-4471,"VH37+G5 Richmond Hill, Ontario",3.5,6 reviews
Chinese supermarket,T&T Supermarket,"1 Promenade Cir, Thornhill, ON L4J 4P8",Opens at 9:00 a.m.,tntsupermarket.com,(905) 763-8113,"RG5X+66 Vaughan, Ontario",4.1,"1,001 reviews"
Grocery store,Rabba Fine Foods,"12 Harrison Garden Blvd, North York, ON M2N 7G4",Open now: Open 24 hours,rabba.com,(416) 250-0005,"QH5R+4C North York, Toronto, ON",3.8,338 reviews
Grocery store,Khorak Supermarket,"6125 Yonge St, North York, ON M2M 3W8",opening hr not provided,khoraksupermarket.com,(416) 221-7558,"QHRJ+RQ North York, Toronto, ON",3.6,"1,669 reviews"
Discount store,Dollarama,"11700 Yonge St, Richmond Hill, ON L4E 0K4",Opens at 9:30 a.m.,dollarama.com,(905) 883-0034,"WH62+XF Richmond Hill, Ontario",4.2,141 reviews
Korean grocery store,Galleria Supermarket,"7040 Yonge St, Thornhill, ON L4J 1V7",Open now: Open 24 hours,galleriasm.com,(905) 882-0040,"QHXH+HF Vaughan, Ontario",4.3,"3,878 reviews"
Discount supermarket,Food Basics,"2900 Steeles Ave E, Markham, ON L3T 4X1",Opens at 8:00 a.m.,foodbasics.ca,(905) 881-4900,"RJ7R+3M Markham, Ontario",3.8,568 reviews
Grocery store,FreshCo Major Mackenzie & Weston,"3737 Major MacKenzie Dr W RR#2, Uni, ON L4L 1A6",Opens at 7:00 a.m.,website not available,(905) 303-3144,"RCVR+JV Vaughan, Ontario",4.0,760 reviews
Pet store,Pet Valu,"9325 Yonge St, Richmond Hill, ON L4C 1V4",Opens at 9:00 a.m.,store.petvalu.com,(905) 884-3911,"VH49+78 Richmond Hill, Ontario",4.6,56 reviews
Pet supply store,Global Pet Foods,"126 Tower Hill Rd #9, Richmond Hill, ON L4E 0K6",Opens at 10:00 a.m.,towerhill.globalpetfoods.com,(905) 883-4729,"WG7X+QM Richmond Hill, Ontario",4.6,81 reviews
Grocery store,Vince & Franca’s No Frills,"1631 Rutherford Rd, Vaughan, ON L4K 0C1",Opens at 8:00 a.m.,nofrills.ca,+1 866-987-6453,"RGR7+GQ Vaughan, Ontario",4.1,"1,327 reviews"
Grocery store,H Mart,"370 Steeles Ave W, Thornhill, ON L4J 6X1",opening hr not provided,hmartca.com,(289) 597-6500,"QHW8+FH Vaughan, Ontario",4.3,524 reviews
Asian grocery store,South Asiyan Supermarket,"9909 Markham Road Unit #11 & #12, Markham, ON L3P 3J3",Opens at 9:00 a.m.,facebook.com,(905) 201-9833,"WP4M+V8 Markham, Ontario",4.2,326 reviews
Supermarket,Metro,"6201 Bathurst St, North York, ON M2R 2A5",Opens at 7:00 a.m.,metro.ca,(416) 228-1110,"QHR4+G4 North York, Toronto, ON",4.2,306 reviews
Convenience store,Circle K,"13735 Bathurst St, Richmond Hill, ON L4E 3Z1",Open now: Open 24 hours,circlek.com,(905) 773-1139,"XG48+R4 Richmond Hill, Ontario",2.0,3 reviews
Grocery store,George's Independent City Market,"3080 Yonge St, Toronto, ON M4N 3N1",Opens at 7:00 a.m.,independentcitymarket.ca,(416) 483-6996,"PHGW+4W Toronto, Ontario",4.3,320 reviews
Beer store,Beer Store,"8825 Yonge St, Richmond Hill, ON L4C 6Z1",Opens at 10:00 a.m.,thebeerstore.ca,(905) 762-0482,"RHVC+2C Richmond Hill, Ontario",4.3,124 reviews
Grocery store,Whole Foods Market,"4771 Yonge St, North York, ON M2N 5M5",opening hr not provided,wholefoodsmarket.com,(416) 730-1100,"QH6Q+9V North York, Toronto, ON",4.2,
Grocery store,Carlo's No Frills,"6220 Yonge St, North York, ON M2M 3X4",opening hr not provided,nofrills.ca,+1 866-987-6453,"QHVH+V8 North York, Toronto, ON",4.1,"2,469 reviews"
Supermarket,T&T Supermarket,"16005 Bayview Ave, Aurora, ON L4G 3L4",Opens at 9:00 a.m.,tntsupermarket.com,(905) 713-9913,"2HG3+35 Aurora, Ontario",4.2,693 reviews
Cafe,Covernotes Coffee House,"10268 Yonge St, Richmond Hill, ON L4C 3B7",Opens at 9:00 a.m.,website not available,(905) 508-2826,"VHH6+49 Richmond Hill, Ontario",4.5,495 reviews
Chinese supermarket,Sunny Foodmart,"7700 Markham Rd, Markham, ON L3S 4S1",Opens at 8:00 a.m.,sunnysupermarket.com,(905) 201-2988,"VP3V+J3 Markham, Ontario",3.9,"1,538 reviews"
Bakery,Lucullus Bakery & Pastries,"328 Hwy 7 #19, Richmond Hill, ON L4B 3P7",Opens at 7:30 a.m.,lucullusbakery.ca,(905) 771-9709,"RJR2+G3 Richmond Hill, Ontario",3.8,538 reviews
Beer distributor,Beer Store,"10375 Yonge St N, Richmond Hill, ON L4C 3C2",Opens at 10:00 a.m.,thebeerstore.ca,(905) 884-7582,"VHJ6+6J Richmond Hill, Ontario",4.0,41 reviews
Clothing store,Joe Fresh,"10909 Yonge St, Richmond Hill, ON L4C 3E3",opening hr not provided,joefresh.com,(905) 737-1222,"VHV5+HQ Richmond Hill, Ontario",1.0,1 review
Asian grocery store,Shaafin Halal Meat and Foods Inc.,"7595 Markham Rd #7, Markham, ON L3S 3J9",Opens at 11:00 a.m.,website not available,(905) 209-7000,"VP2W+7F Markham, Ontario",4.3,63 reviews
Fruit and vegetable store,Danforth Food Market,"3051 Pharmacy Ave, Scarborough, ON M1W 2H1",Opens at 8:30 a.m.,danforthfoodmarket.com,(416) 490-9219,"QMWF+8F Scarborough, Toronto, ON",3.3,243 reviews
Clothing store,Joe Fresh,"301 High Tech Rd, Richmond Hill, ON L4B 4R2",opening hr not provided,joefresh.com,(905) 771-1066,"RHVQ+4X Richmond Hill, Ontario",4.3,32 reviews
Gas station,Petro-Canada & Car Wash,"8760 Bayview Ave, Richmond Hill, ON L4B 4M2",Open now: Open 24 hours,petro-canada.ca,(905) 731-9410,"RHVR+QJ Richmond Hill, Ontario",3.7,143 reviews
Cafe,BB Cafe- Richmond Hill,"10067 Yonge St, Richmond Hill, ON L4C 1T9",Opens at 11:00 a.m.,bbcafe.ca,(905) 237-6565,"VHF7+53 Richmond Hill, Ontario",4.2,482 reviews
Grocery store,Foodland Parkway forest,"107 Parkway Forest Dr, North York, ON M2J 1L8",Opens at 7:00 a.m.,ontario.foodland.ca,(416) 491-6525,"QMF5+HW North York, Toronto, ON",3.9,995 reviews
Cake shop,La Rocca Creative Kitchen,"1285 Elgin Mills Rd E Unit 5, Richmond Hill, ON L4S 0B5",Opens at 11:00 a.m.,laroccakitchen.com,(905) 237-7784,"VHWW+CM Richmond Hill, Ontario",4.4,238 reviews
Grocery store,Bulk Food,"2900 Warden Ave, Scarborough, ON M1W 2S8",Opens at 10:00 a.m.,piknbag.co,(416) 901-5924,"QMXJ+GG Scarborough, Toronto, ON",3.7,25 reviews
Grocery store,Real Canadian Superstore,"18120 Yonge St, Newmarket, ON L3Y 4V8",opening hr not provided,realcanadiansuperstore.ca,(905) 830-4072,"3GC7+3G Newmarket, Ontario",4.2,"1,385 reviews"
Supermarket,T&T Supermarket,"New Horizon Centre, 7070 Warden Ave, Markham, ON L3R 5Y2",opening hr not provided,tntsupermarket.com,(905) 470-8113,"RMCF+VF Markham, Ontario",4.1,"4,354 reviews"
Grocery store,Sunfood Supermarket,"Denison Centre, 1661 Denison St, Markham, ON L3R 6E3",Opens at 9:00 a.m.,sunfoodsupermarket.ca,(905) 513-1666,"RMMV+F7 Markham, Ontario",3.5,604 reviews
Grocery store,Longo's Yonge & Sheppard,"4841 Yonge St Level 3, North York, ON M2N 5X2",Opens at 8:00 a.m.,longos.com,(416) 226-4477,"QH7Q+3J North York, Toronto, ON",4.4,622 reviews
Gourmet grocery store,Summerhill Market,"1014 Bathurst St, Toronto, ON M5R 3G7",Opens at 8:00 a.m.,summerhillmarket.com,(416) 350-1678,"MHCP+8H Toronto, Ontario",4.2,92 reviews
Home goods store,Kitchen Stuff Plus,"8825 Yonge St, Richmond Hill, ON L4C 6Z1",Opens at 12:00 p.m.,kitchenstuffplus.com,(905) 482-0225,"RHVC+47 Richmond Hill, Ontario",4.2,263 reviews
Grocery store,Golden Mart,"4188 Finch Ave E, Scarborough, ON M1S 4T6",opening hr not provided,website not available,(416) 335-8288,"RP36+RV Scarborough, Toronto, ON",review not available,not available
Beer store,Beer Store,"13469 Yonge St, Richmond Hill, ON L4E 3L3",Opens at 10:00 a.m.,thebeerstore.ca,(905) 313-8323,"XG3V+VC Richmond Hill, Ontario",4.2,145 reviews
Breakfast restaurant,What A Bagel,"10815 Bathurst St, Richmond Hill, ON L4C 9Y2",Opens at 7:00 a.m.,whatabagel.com,(905) 237-7916,"VGPM+65 Richmond Hill, Ontario",4.3,642 reviews
Grocery store,Coppa's Fresh Market,"4750 Dufferin St, North York, ON M3H 5S7",Opens at 7:00 a.m.,coppas.com,(416) 736-6606,"QGGJ+G7 North York, Toronto, ON",4.4,"1,883 reviews"
Grocery store,Tufts' valu-mart,"3259 Bayview Ave, North York, ON M2K 1G4",Opens at 7:00 a.m.,valumart.ca,(416) 221-6702,"QJR5+85 North York, Toronto, ON",4.1,537 reviews
Fast food restaurant,Dairy Queen Grill & Chill,"10443 Yonge St, Richmond Hill, ON L4C 3C2",opening hr not provided,dqrichmondhill.com,(905) 884-7005,"VHJ6+VF Richmond Hill, Ontario",3.7,344 reviews
Gourmet grocery store,Summerhill Market,"1057 Mt Pleasant Rd, Toronto, ON M4P 2M4",Opens at 9:00 a.m.,summerhillmarket.com,(647) 748-0777,"PJ84+7W Toronto, Ontario",2.5,2 reviews
Grocery store,Yummy Market,"4400 Dufferin St, North York, ON M3H 6A8",Opens at 9:00 a.m.,yummymarket.com,(416) 665-0040,"QG7J+QV North York, Toronto, ON",4.5,"2,326 reviews"
