google_category,title,address,opening_hrs,website,phone,plus_code,review,total number of reviews
Furniture store,The Brick,"45 Red Maple Rd, Richmond Hill, ON L4B 4M6",Opens at 10:00 a.m.,thebrick.com,(905) 731-2221,"RHRJ+Q3 Richmond Hill, Ontario",3.4,743 reviews
Professional organizer,ClutterBGone,adress not available,Opens at 9:00 a.m.,clutterbgone.ca,(905) 642-5669,plus code available,4.7,19 reviews
Mover,Richmond Hill Movers - Hercules Moving Company,"9471 Yonge St apt 521, Richmond Hill, ON L4C 0Z5",Opens at 8:00 a.m.,herculesmoving.ca,(289) 806-3251,"VH58+3H Richmond Hill, Ontario",4.7,10 reviews
Furniture store,Roomscapes Ltd,"25 Pollard St, Richmond Hill, ON L4B 1A8",opening hr not provided,website not available,(905) 731-9007,"RJX6+86 Richmond Hill, Ontario",review not available,not available
Garbage collection service,JUST JUNK® Richmond Hill,adress not available,Opens at 7:30 a.m.,justjunk.com,(905) 472-1222,plus code available,4.6,52 reviews
Window installation service,Omega Windows & Doors Manufacturing,adress not available,Opens at 8:30 a.m.,omegawindows.ca,(289) 207-0544,plus code available,review not available,not available
Home goods store,Home Sense,"9350 Yonge St, Richmond Hill, ON L4C 5G2",opening hr not provided,homesense.ca,(905) 884-8057,"VH47+HG Richmond Hill, Ontario",4.1,14 reviews
Home builder,Richlands Richmond Hill - DECO Homes,"10961 Leslie St, Richmond Hill, ON L4S 0B2",Opens at 1:00 p.m.,decohomes.ca,(647) 274-8986,"WJ33+5M Richmond Hill, Ontario",3.6,11 reviews
Bedroom furniture store,Kasa Living,"9350 Yonge St, Richmond Hill, ON L4C 5G2",opening hr not provided,website not available,(905) 787-0897,"VH37+R7 Richmond Hill, Ontario",review not available,not available
Professional organizer,NEAT Method Toronto,adress not available,Opens at 9:00 a.m.,neatmethod.com,+1 855-232-6328,plus code available,5.0,4 reviews
Department store,Canadian Tire,"11720 Yonge St, Richmond Hill, ON L4E 0K4",Opens at 8:00 a.m.,canadiantire.ca,(905) 884-9009,"WH72+79 Richmond Hill, Ontario",3.6,"1,018 reviews"
Furniture store,Monarch Fabrics & Drapes,"54 Glenayr Rd, Richmond Hill, ON L4B 2V7",opening hr not provided,website not available,(905) 770-9363,"VH8W+G6 Richmond Hill, Ontario",1.0,1 review
Department store,Canadian Tire,"250 Silver Linden Dr, Richmond Hill, ON L4B 4W7",Opens at 9:00 a.m.,canadiantire.ca,(905) 731-3100,"RHRP+XM Richmond Hill, Ontario",3.6,"1,603 reviews"
Florist,Hana Floral Designs & Co.,"8238 Yonge St, Thornhill, ON L4J 1W6",Opens at 10:00 a.m.,hanaflowers.ca,(905) 763-6999,"RHHC+4X Vaughan, Ontario",4.9,58 reviews
General contractor,ForHome Renovation 多伦多室内装修,"28 Township Ave, Richmond Hill, ON L4E 0J8",Opens at 9:00 a.m.,website not available,(416) 834-8219,"WGCJ+24 Richmond Hill, Ontario",5.0,33 reviews
Bathroom supply store,York Taps Bath & Showers,"9120 Leslie St, Richmond Hill, ON L4B 2N8",Opens at 9:00 a.m.,yorktaps.ca,(905) 597-3310,"VJ47+4G Richmond Hill, Ontario",4.0,276 reviews
Department store,Walmart Supercentre,"1070 Major Mackenzie Dr E A, Richmond Hill, ON L4S 1P3",Opens at 7:00 a.m.,walmart.ca,(905) 737-3457,"VHGR+WJ Richmond Hill, Ontario",4.0,"1,382 reviews"
Moving and storage service,Happy Moving & Storage,"16 Ellery Dr, Richmond Hill, ON L4C 7W6",opening hr not provided,website not available,(416) 567-5554,"VGGQ+6M Richmond Hill, Ontario",2.7,19 reviews
Construction company,EACL Consulting Services,"15 Allstate Pkwy #102, Markham, ON L3R 5B4",Opens at 8:00 a.m.,eaclconsulting.ca,(905) 474-5775,"VJ2P+2P Markham, Ontario",review not available,not available
Mover,Mr Moving,"32 Doncrest Rd, Richmond Hill, ON L4B 1A2",Opens at 9:00 a.m.,mrmoving.ca,(416) 897-3894,"RHRX+W7 Richmond Hill, Ontario",4.6,40 reviews
Office supply store,Office Central,"60 Leek Crescent, Richmond Hill, ON L4B 1H1",Opens at 8:30 a.m.,officecentral.com,(905) 887-7700,"VJ6F+8J Richmond Hill, Ontario",4.6,19 reviews
Home builder,Richlands - OPUS HOMES,"10961 Leslie St, Richmond Hill, ON L4S 1N6",opening hr not provided,opushomes.com,(416) 716-2813,"WJ33+J5 Richmond Hill, Ontario",review not available,not available
Furniture store,New Mega Furniture,"10825 Yonge St, Richmond Hill, ON L4C 3E3",opening hr not provided,newmegafurniture.ca,(905) 737-5866,"VHR5+JG Richmond Hill, Ontario",4.4,26 reviews
Cabinet maker,Closet Town | Closet Organizers & Cabinets,"3-351 Spinnaker Way, Concord, ON L4K 4N4",Opens at 9:00 a.m.,closettown.com,(416) 824-8696,"RGJ4+CR Vaughan, Ontario",5.0,8 reviews
Office supply store,Staples,"45 Red Maple Rd, Richmond Hill, ON L4B 4M6",opening hr not provided,stores.staples.ca,(905) 882-6995,"RHRH+G4 Richmond Hill, Ontario",4.0,380 reviews
Furniture store,L&D Furniture,"9140 Leslie St, Richmond Hill, ON L4B 0A9",opening hr not provided,torontofurniturestores.ca,(905) 886-8036,"VJ47+V9 Richmond Hill, Ontario",review not available,not available
Moving and storage service,Allstar Moving & Storage,"424 Fernleigh Cir S, Richmond Hill, ON L4C 1E6",opening hr not provided,website not available,(416) 285-7777,"VHGJ+MR Richmond Hill, Ontario",review not available,not available
Interior construction contractor,CANADA HOME SOLUTION,"802 Cochrane Dr #1, Markham, ON L3R 8C9",Opens at 9:00 a.m.,canadahomesolution.com,(905) 477-2637,"RJWP+FW Markham, Ontario",3.6,37 reviews
Furniture store,Leon's Furniture,"10875 Yonge St, Richmond Hill, ON L4C 3E3",Opens at 9:00 a.m.,leons.ca,(905) 770-4424,"VHR5+WH Richmond Hill, Ontario",3.4,301 reviews
Mattress store,The Brick Mattress Store,"1500 Elgin Mills Rd E, Richmond Hill, ON L4S 0B2",opening hr not provided,thebrick.com,(905) 780-1082,"VJX3+JW Richmond Hill, Ontario",4.2,33 reviews
Kitchen remodeler,Jumeirah Kitchens,"97 Newkirk Rd, Richmond Hill, ON L4C 3G4",Opens at 9:00 a.m.,jumeirahkitchens.com,(905) 237-7718,"VHJF+C6 Richmond Hill, Ontario",4.4,20 reviews
Department store,Walmart Supercentre,"255 Silver Linden Dr, Richmond Hill, ON L4B 4V5",Opens at 7:00 a.m.,walmart.ca,(905) 747-0628,"RHRM+RJ Richmond Hill, Ontario",3.9,"3,369 reviews"
Furniture store,Rich & Real Outdoor,"55 W Beaver Creek, Unit 16, Richmond Hill, ON L4B 1K5",Opens at 12:00 p.m.,website not available,(416) 226-9528,"VJ45+6R Richmond Hill, Ontario",review not available,not available
Furniture store,Canaren Inc,"250 West Beaver Creek Rd, Richmond Hill, ON L4B 1C7",opening hr not provided,canaren.com,(905) 763-9125,"RJW6+2J Richmond Hill, Ontario",review not available,not available
Self-storage facility,James Snow Self Storage Richmond Hill,"360 Newkirk Rd, Richmond Hill, ON L4C 3A2",Opens at 9:00 a.m.,jamessnowstorage.com,(289) 870-5555,"VHR8+9M Richmond Hill, Ontario",4.5,42 reviews
Department store,Winners,"45 Red Maple Rd, Richmond Hill, ON L4B 4M6",opening hr not provided,winners.ca,(905) 889-5456,"RHRH+M9 Richmond Hill, Ontario",3.9,669 reviews
Furniture store,Prodesign Furniture,"55 West Beaver Creek Rd, Richmond Hill, ON L4B 1K4",opening hr not provided,website not available,(416) 858-6606,"VJ35+VC Richmond Hill, Ontario",review not available,not available
Self-storage facility,Self Stor Storage,"25 Newkirk Rd, Richmond Hill, ON L4C 3G4",Opens at 8:30 a.m.,selfstor.ca,(905) 508-9966,"VHHF+7Q Richmond Hill, Ontario",4.8,79 reviews
Furniture store,SALESAWAY INTERIOR HOME FURNITURE,"9040 Leslie St #3, Richmond Hill, ON L4B 3L8",opening hr not provided,website not available,Phone not available,"VJ37+5P Richmond Hill, Ontario",review not available,not available
Furniture store,Quality Crystals Co Ltd,"35 East Beaver Creek Rd, Richmond Hill, ON L4B 1B3",opening hr not provided,website not available,(905) 764-0777,"VJ48+QW Richmond Hill, Ontario",review not available,not available
Antique store,Arezzo Antiques,"16 Sims Crescent, Richmond Hill, ON L4B 2P1",opening hr not provided,arezzoantiques.com,(905) 881-0810,"VJ38+XJ Richmond Hill, Ontario",3.0,3 reviews
HVAC contractor,Constant Home Comfort,"50 Mural St Unit #11, Richmond Hill, ON L4B 1E4",Open now: Open 24 hours,constanthomecomfort.com,+1 888-829-1875,"VJ67+6W Richmond Hill, Ontario",4.7,201 reviews
Corporate entertainment service,The Idea Hunter,"65B West Beaver Creek Rd, Richmond Hill, ON L4B 1K4",Opens at 9:00 a.m.,theideahunter.ca,(647) 984-0773,"VJ35+V2 Richmond Hill, Ontario",4.9,31 reviews
Door warehouse,Mr Home Garage Doors,"20 West Pearce Street Richmond Hill, Markham, ON L3R 8T9",Opens at 9:00 a.m.,mrhomegaragedoors.ca,(647) 407-6666,"RJX7+CW Markham, Ontario",5.0,1 review
Professional organizer,Space in the City,adress not available,Opens at 9:00 a.m.,spaceinthecity.ca,(647) 214-1325,plus code available,5.0,8 reviews
Mattress store,Diamond Bedding Ltd,"9094 Leslie St Unit #2, Richmond Hill, ON L4B 3L9",Opens at 10:00 a.m.,diamondbedding.ca,(905) 764-9098,"VJ37+JR Richmond Hill, Ontario",4.9,18 reviews
Interior designer,Lumar Interiors,"556 Edward Ave #83, Richmond Hill, ON L4C 9Y5",Opens at 9:00 a.m.,lumarinteriors.com,(905) 508-5780,"VHWC+X5 Richmond Hill, Ontario",5.0,10 reviews
Home goods store,Showcase,"Hillcrest Mall, 9350 Yonge St, Richmond Hill, ON L4C 5G2",Opens at 10:00 a.m.,ca.shopatshowcase.com,(905) 780-8634,"VH37+F7 Richmond Hill, Ontario",3.0,33 reviews
Antique furniture store,Yue Hwa Interiors & Gifts,"160 East Beaver Creek Rd unit 31, Richmond Hill, ON L4B 3L4",Opens at 10:30 a.m.,yuehwa.ca,(647) 278-4108,"RJXF+J6 Richmond Hill, Ontario",4.3,4 reviews
Warehouse,Newegg Canada,"55 East Beaver Creek Rd E, Richmond Hill, ON L4B 1E8",Opens at 9:00 a.m.,newegg.ca,(905) 763-4488,"VJ49+XH Richmond Hill, Ontario",2.2,260 reviews
Furniture store,Ethan Allen,"8134 Yonge St, Thornhill, ON L4J 1W4",opening hr not provided,ethanallen.ca,(905) 889-7761,"RHGF+74 Vaughan, Ontario",4.6,81 reviews
Storage facility,Goodcase Storage Container Ltd,"9225 Leslie St #201, Richmond Hill, ON L4B 3H6",Opens at 8:30 a.m.,gcstoragecontainer.com,(647) 325-5966,"VJ67+HJ Richmond Hill, Ontario",5.0,2 reviews
Office supply store,Staples,"1700 Elgin Mills Rd E Unit 2, Richmond Hill, ON L4S 0B2",opening hr not provided,stores.staples.ca,(905) 770-1600,"WJ25+5V Richmond Hill, Ontario",3.7,268 reviews
Church,The Meeting House Richmond Hill,"8725 Yonge St, Richmond Hill, ON L4C 6Z1",opening hr not provided,themeetinghouse.com,(647) 300-4756,"RHRF+89 Richmond Hill, Ontario",4.0,1 review
Self-storage facility,Access Storage - Yonge Steeles,"32 Doncaster Ave, Thornhill, ON L3T 1L3",opening hr not provided,accessstorage.ca,(647) 493-8457,"RH3J+CG Markham, Ontario",4.0,118 reviews
Cemetery,"Elgin Mills Cemetery, Cremation and Funeral Centres","1591 Elgin Mills Rd E, Richmond Hill, ON L4S 1M9",Opens at 8:00 a.m.,mountpleasantgroup.com,(905) 737-1720,"VJX4+72 Richmond Hill, Ontario",3.2,27 reviews
Computer support and services,Compugen,"100 Via Renzo Dr, Richmond Hill, ON L4S 0B8",Opens at 9:00 a.m.,compugen.com,(905) 707-2000,"VJQ7+W3 Richmond Hill, Ontario",4.1,73 reviews
Professional organizer,Organize My Chaos,adress not available,Opens at 10:00 a.m.,organizemychaos.ca,(416) 602-3423,plus code available,review not available,not available
Cabinet maker,Organized Interiors,"201 Chrislea Rd, Woodbridge, ON L4L 8N6",Opens at 9:30 a.m.,organizedinteriors.com,(905) 264-5678,"QFW4+7V Vaughan, Ontario",4.5,78 reviews
Curtain store,"Kamfair Drapes Inc - Custom Drapery, Shades, Blinds & Shutters Toronto","28 Crown Steel Dr #11, Markham, ON L3R 9Y1",Opens at 10:00 a.m.,kamfairdrapes.com,(905) 479-0021,"RMQF+PC Markham, Ontario",5.0,49 reviews
